old_player_names,new_player_names,Team_short,Team,Player_type
Sachin Baby,Sachin Baby,SRH,Sunrisers Hyderabad,BAT
RD Gaikwad,Ruturaj Gaikwad,CSK,Chennai Super Kings,BAT
R Powell,Rovman Powell,KKR,Kolkata Knight Riders,BAT
R Shepherd,Romario Shepherd,RCB,Royal Challengers Bengaluru,AR
RG Sharma,Rohit Sharma,MI,Mumbai Indians,BAT
R Parag,Riyan Parag,RR,Rajasthan Royals,AR
RR Pant,Rishabh Pant,LSG,Lucknow Super Giants,BAT
RJW Topley,Reece Topley,MI,Mumbai Indians,BOWL
RA Jadeja,Ravindra Jadeja,CSK,Chennai Super Kings,AR
R Ashwin,Ravichandran Ashwin,CSK,Chennai Super Kings,AR
Ravi Bishnoi,Ravi Bishnoi,LSG,Lucknow Super Giants,BOWL
